results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.60,-1.9,Even PETTERSEN,93,NOR,F,2,"Bislett Stadion, Oslo (NOR)",11.06,1019
10.61,+0.3,Sugantham SOMASUNDARAM,92,SUI,F,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,1005
10.63,+0.3,Sylvain CHUARD,96,SUI,F,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,999
10.67,-0.3,Jacques RIPARELLI,83,ITA,F2,9,"Stadio Olimpico, Roma (ITA)",04.06,987
10.68,-0.5,Cravont CHARLESTON,98,USA,F,5,"Icahn Stadium, New York, NY (USA)",13.06,986
10.70,+0.5,Alan ALAIS,90,FRA,F,7,Paris (FRA),04.07,977
10.72,-0.5,Devin QUINN,96,USA,F,6,"Icahn Stadium, New York, NY (USA)",13.06,974
10.74,+0.3,Eric-Kian ZANDI RAD,97,SUI,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,965
10.75,+0.4,Jordan PAQUOT,98,BEL,F,1,"Boudewijnstadion, Bruxelles (BEL)",11.09,962
10.83,-0.5,Micah BEAVER, - ,USA,F,7,"Icahn Stadium, New York, NY (USA)",13.06,940
10.84,-1.9,Sebastian Salas GUILLEN PEREZ,97,NOR,F,3,"Bislett Stadion, Oslo (NOR)",11.06,945
10.86,-1.9,Jonas Tapani HALONEN,95,NOR,F,4,"Bislett Stadion, Oslo (NOR)",11.06,939
10.86,-0.5,Ian MACK,96,USA,F,8,"Icahn Stadium, New York, NY (USA)",13.06,931
10.91,+0.3,Pascal MÜLLER,88,SUI,F,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",09.07,913
10.93,-1.9,Kristoffer BUHAGEN,92,NOR,F,5,"Bislett Stadion, Oslo (NOR)",11.06,918
10.94,+0.4,Raphael KAPENDA,98,BEL,F,2,"Boudewijnstadion, Bruxelles (BEL)",11.09,904
10.97,+0.4,Marvin NICQUE,98,BEL,F,3,"Boudewijnstadion, Bruxelles (BEL)",11.09,895
10.98,-1.9,Eirik THORSHAUG,87,NOR,F,6,"Bislett Stadion, Oslo (NOR)",11.06,903
11.07,+0.4,Kobe VLEMINCKX,98,BEL,F,4,"Boudewijnstadion, Bruxelles (BEL)",11.09,866
11.10,-1.9,Sondre Loftås KÅSTAD,96,NOR,F,7,"Bislett Stadion, Oslo (NOR)",11.06,868
11.16,+0.4,Axel VIAENE,98,BEL,F,5,"Boudewijnstadion, Bruxelles (BEL)",11.09,840
11.24,-1.9,Abou Granli DIAMONDE,97,NOR,F,8,"Bislett Stadion, Oslo (NOR)",11.06,828
11.28,+0.4,Joaquim FATOÏCHAN DE MEESTER,98,BEL,F,6,"Boudewijnstadion, Bruxelles (BEL)",11.09,805
11.35,+0.4,Nathan KAPENDA,98,BEL,F,7,"Boudewijnstadion, Bruxelles (BEL)",11.09,786
11.47,+0.4,Jitse MIEVIS,98,BEL,F,8,"Boudewijnstadion, Bruxelles (BEL)",11.09,753
