results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
11.29,-0.2,Nils-Göran NILSSON,88,SWE,F1,6.0,"Olympiastadion, Stockholm (SWE)",6.08,804
11.3,-0.2,Marvin TAY,90,SWE,F1,7.0,"Olympiastadion, Stockholm (SWE)",6.08,801
11.32,-0.1,Andreas ENGWALL,92,SWE,F2,4.0,"Olympiastadion, Stockholm (SWE)",6.08,794
11.59,-0.1,Daniel GOLDMAN,79,SWE,F2,5.0,"Olympiastadion, Stockholm (SWE)",6.08,720
12.46,-0.4,Walter DIX,86,USA,F,8.0,"Crystal Palace, London (GBR)",13.08,509
9.76,1.3,Usain BOLT,86,JAM,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",16.09,1291
9.78,1.0,Asafa POWELL,82,JAM,F,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,1283
9.8,1.3,Steve MULLINGS,82,JAM,F,1.0,"Hayward Field, Eugene, OR (USA)",4.06,1276
9.82,0.0,Yohan BLAKE,89,JAM,F,1.0,"Letzigrund, Zürich (SUI)",8.09,1269
9.85,1.3,Michael RODGERS,85,USA,F,2.0,"Hayward Field, Eugene, OR (USA)",4.06,1259
9.88,1.0,Michael FRATER,82,JAM,F,2.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,1248
9.88,1.0,Usain BOLT,86,JAM,F,1.0,"Stade Louis II, Monaco (MON)",22.07,1248
9.89,1.3,Nesta CARTER,85,JAM,F,2.0,"Boudewijnstadion, Bruxelles (BEL)",16.09,1245
9.9,1.0,Nesta CARTER,85,JAM,F,2.0,"Stade Louis II, Monaco (MON)",22.07,1241
9.91,0.6,Usain BOLT,86,JAM,F,1.0,"Stadio Olimpico, Roma (ITA)",26.05,1238
9.91,0.4,Asafa POWELL,82,JAM,F,1.0,"Alexander Stadium, Birmingham (GBR)",10.07,1238
9.92,1.3,Nesta CARTER,85,JAM,F,3.0,"Hayward Field, Eugene, OR (USA)",4.06,1234
9.93,0.6,Asafa POWELL,82,JAM,F,2.0,"Stadio Olimpico, Roma (ITA)",26.05,1231
9.93,0.4,Nesta CARTER,85,JAM,F,2.0,"Alexander Stadium, Birmingham (GBR)",10.07,1231
9.94,1.3,Darvis PATTON,77,USA,F,4.0,"Hayward Field, Eugene, OR (USA)",4.06,1227
9.94,1.3,Michael FRATER,82,JAM,F,5.0,"Hayward Field, Eugene, OR (USA)",4.06,1227
9.95,0.3,Asafa POWELL,82,JAM,F,1.0,"Shanghai Stadium, Shanghai (CHN)",15.05,1224
9.95,1.0,Christophe LEMAITRE,90,FRA,F,3.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,1224
9.95,1.0,Asafa POWELL,82,JAM,H2,1.0,"Alexander Stadium, Birmingham (GBR)",10.07,1224
9.95,-1.6,Yohan BLAKE,89,JAM,F,1.0,"Crystal Palace, London (GBR)",5.08,1233
9.95,0.0,Asafa POWELL,82,JAM,F,2.0,"Letzigrund, Zürich (SUI)",8.09,1224
9.97,1.3,Justin GATLIN,82,USA,F,6.0,"Hayward Field, Eugene, OR (USA)",4.06,1217
9.99,1.0,Nesta CARTER,85,JAM,F,4.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,1210
9.99,1.0,Jaysuma SAIDY NDURE,84,NOR,F,5.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",30.06,1210
10.0,0.6,Christophe LEMAITRE,90,FRA,F,3.0,"Stadio Olimpico, Roma (ITA)",26.05,1206
10.01,0.3,Michael RODGERS,85,USA,F,2.0,"Shanghai Stadium, Shanghai (CHN)",15.05,1203
10.01,1.3,Richard THOMPSON,85,TTO,F,7.0,"Hayward Field, Eugene, OR (USA)",4.06,1203
10.01,0.4,Michael FRATER,82,JAM,F,3.0,"Alexander Stadium, Birmingham (GBR)",10.07,1203
10.01,1.0,Michael FRATER,82,JAM,F,3.0,"Stade Louis II, Monaco (MON)",22.07,1203
10.01,-1.6,Nesta CARTER,85,JAM,F,2.0,"Crystal Palace, London (GBR)",5.08,1212
10.02,1.3,Ivory WILLIAMS,85,USA,F,8.0,"Hayward Field, Eugene, OR (USA)",4.06,1199
10.03,1.0,Christophe LEMAITRE,90,FRA,F,4.0,"Stade Louis II, Monaco (MON)",22.07,1196
10.04,0.0,Nesta CARTER,85,JAM,H2,1.0,"Crystal Palace, London (GBR)",5.08,1193
10.04,0.0,Walter DIX,86,USA,F,3.0,"Letzigrund, Zürich (SUI)",8.09,1193
