,Unnamed: 0,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
128,128,10.68,1.0,Richard THOMPSON,85,TTO,SF1,7.0,"Icahn Stadium, New York, NY (USA)",25.05,983
129,129,10.68,-0.4,Kendal WILLIAMS,95,USA,F,6.0,"Icahn Stadium, New York, NY (USA)",25.05,985
130,130,10.71,0.0,Mamoudou-Elimane HANNE,88,FRA,F,1.0,Paris (FRA),6.07,974
131,131,10.73,-0.4,Trentavis FRIDAY,95,USA,F,7.0,"Icahn Stadium, New York, NY (USA)",25.05,970
132,132,10.74,1.7,Rolf FONGUÉ,87,SUI,F,6.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,965
133,133,10.74,0.0,Katim TOURÉ,87,SEN,F,2.0,Paris (FRA),6.07,965
134,134,10.75,1.7,Steven GUGERLI,85,SUI,F,7.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,962
135,135,10.76,-0.4,Kenzo COTTON,96,USA,F,8.0,"Icahn Stadium, New York, NY (USA)",25.05,961
136,136,10.8,1.7,Sylvain CHUARD,96,SUI,F,8.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",4.07,946
137,137,10.9,-0.4,LeVonte WHITFIELD,93,USA,F,9.0,"Icahn Stadium, New York, NY (USA)",25.05,918
138,138,10.93,0.0,Arnaud GAUTHIER,94,FRA,F,3.0,Paris (FRA),6.07,907
139,139,10.95,0.0,Wesley CINQVAL,94,FRA,F,4.0,Paris (FRA),6.07,901
140,140,10.96,0.0,Yanis DALLAY,94,COM,F,5.0,Paris (FRA),6.07,898
141,141,11.08,0.0,Nicolas CONSTANT,96,FRA,F,6.0,Paris (FRA),6.07,863
142,142,11.08,0.0,Maxime VARAISE,94,FRA,F,7.0,Paris (FRA),6.07,863
143,143,11.08,0.8,Quentin TJOEN,96,BEL,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,863
144,144,11.1,0.0,Ahmed BENNIA,90,FRA,F,8.0,Paris (FRA),6.07,857
145,145,11.18,0.8,Clement BRUNIN,96,BEL,F,2.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,834
146,146,11.2,0.8,Tiemen TACK,96,BEL,F,3.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,828
147,147,11.24,0.8,Guillaume SCHEUNDERS,96,BEL,F,4.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,817
148,148,11.27,0.8,Tobias CAPIAU,97,BEL,F,5.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,808
149,149,11.3,0.8,Tyron LEFLOT,97,BEL,F,6.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,800
150,150,11.32,0.8,Maxim MUERMANS,96,BEL,F,7.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,794
151,151,11.43,0.8,Jasper VAN HAUWERMEIREN,96,BEL,F,8.0,"Boudewijnstadion, Bruxelles (BEL)",6.09,764
0,0,9.77,0.6,Justin GATLIN,82,USA,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",5.09,1287
1,1,9.8,0.1,Justin GATLIN,82,USA,F,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",3.07,1276
2,2,9.91,0.4,Justin GATLIN,82,USA,F1,1.0,"Stadio Olimpico, Roma (ITA)",5.06,1238
3,3,9.92,0.0,Justin GATLIN,82,USA,F,1.0,"Shanghai Stadium, Shanghai (CHN)",18.05,1234
4,4,9.93,0.1,Tyson GAY,82,USA,F,2.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",3.07,1231
5,5,9.93,0.6,Michael RODGERS,85,USA,F,2.0,"Boudewijnstadion, Bruxelles (BEL)",5.09,1231
6,6,9.95,0.6,Asafa POWELL,82,JAM,F,3.0,"Boudewijnstadion, Bruxelles (BEL)",5.09,1224
7,7,9.96,2.0,Nesta CARTER,85,JAM,F,1.0,"Olympiastadion, Stockholm (SWE)",21.08,1220
8,8,9.96,-0.3,Kemar BAILEY-COLE,92,JAM,F1,1.0,"Letzigrund, Zürich (SUI)",28.08,1221
9,9,9.96,0.6,Kemar BAILEY-COLE,92,JAM,F,4.0,"Boudewijnstadion, Bruxelles (BEL)",5.09,1220
10,10,9.97,0.3,Nickel ASHMEADE,90,JAM,F1,1.0,"Hampden Park, Glasgow (GBR)",11.07,1217
11,11,9.97,0.3,Michael RODGERS,85,USA,F1,2.0,"Hampden Park, Glasgow (GBR)",11.07,1217
12,12,9.98,0.1,Michael RODGERS,85,USA,F,3.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",3.07,1213
13,13,9.98,0.3,Nesta CARTER,85,JAM,F1,3.0,"Hampden Park, Glasgow (GBR)",11.07,1213
14,14,10.0,-0.8,Michael RODGERS,85,USA,F,1.0,Paris (FRA),5.07,1210
15,15,10.0,0.6,James DASAOLU,87,GBR,F,5.0,"Boudewijnstadion, Bruxelles (BEL)",5.09,1206
16,16,10.01,0.6,Tyson GAY,82,USA,F,6.0,"Boudewijnstadion, Bruxelles (BEL)",5.09,1203
17,17,10.01,0.6,Nesta CARTER,85,JAM,F,7.0,"Boudewijnstadion, Bruxelles (BEL)",5.09,1203
18,18,10.02,0.4,Nesta CARTER,85,JAM,F1,2.0,"Stadio Olimpico, Roma (ITA)",5.06,1199
19,19,10.02,-0.6,Richard THOMPSON,85,TTO,F,1.0,"Bislett Stadion, Oslo (NOR)",11.06,1202
20,20,10.03,-0.1,James DASAOLU,87,GBR,F2,1.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",3.07,1196
21,21,10.03,0.3,James DASAOLU,87,GBR,F1,4.0,"Hampden Park, Glasgow (GBR)",11.07,1196
22,22,10.03,1.4,Kemar BAILEY-COLE,92,JAM,F2,1.0,"Hampden Park, Glasgow (GBR)",11.07,1196
23,23,10.04,-0.6,Jimmy VICAUT,92,FRA,F,2.0,"Bislett Stadion, Oslo (NOR)",11.06,1196
24,24,10.05,-0.3,Michael RODGERS,85,USA,F1,2.0,"Letzigrund, Zürich (SUI)",28.08,1190
25,25,10.06,-0.3,James DASAOLU,87,GBR,F1,3.0,"Letzigrund, Zürich (SUI)",28.08,1187
26,26,10.07,0.4,Adam GEMILI,93,GBR,F1,3.0,"Stadio Olimpico, Roma (ITA)",5.06,1182
27,27,10.07,0.3,Kim COLLINS,76,SKN,F1,5.0,"Hampden Park, Glasgow (GBR)",11.07,1182
28,28,10.07,-0.3,Asafa POWELL,82,JAM,F1,4.0,"Letzigrund, Zürich (SUI)",28.08,1183
29,29,10.08,-0.8,Richard THOMPSON,85,TTO,F,2.0,Paris (FRA),5.07,1183
30,30,10.08,-1.9,Kemar BAILEY-COLE,92,JAM,F,1.0,"Alexander Stadium, Birmingham (GBR)",24.08,1190
31,31,10.09,-1.9,Nesta CARTER,85,JAM,F,1.0,"Icahn Stadium, New York, NY (USA)",14.06,1187
32,32,10.09,0.3,Richard THOMPSON,85,TTO,F1,6.0,"Hampden Park, Glasgow (GBR)",11.07,1176
33,33,10.09,2.0,Keston BLEDMAN,88,TTO,F,2.0,"Olympiastadion, Stockholm (SWE)",21.08,1176
34,34,10.1,-0.8,Kim COLLINS,76,SKN,F,3.0,Paris (FRA),5.07,1176
35,35,10.1,2.0,Chijindu UJAH,94,GBR,F,3.0,"Olympiastadion, Stockholm (SWE)",21.08,1172
36,36,10.1,2.0,Nickel ASHMEADE,90,JAM,F,4.0,"Olympiastadion, Stockholm (SWE)",21.08,1172
37,37,10.1,0.6,Richard THOMPSON,85,TTO,F,8.0,"Boudewijnstadion, Bruxelles (BEL)",5.09,1172
38,38,10.11,-0.6,Adam GEMILI,93,GBR,F,3.0,"Bislett Stadion, Oslo (NOR)",11.06,1172
